#{"t_start": 1626768021.9418232, "env_id": "jtr-modelless-v1"}
r,l,t
-183.481581,16,64.166279
-229.095073,11,64.242233
105.949008,38,64.500123
-226.535606,11,64.574976
-260.693078,10,64.643142
-279.38046,8,64.698704
-122.945582,19,64.827523
-33.576746,30,65.03114
-51.431768,25,65.200473
-283.357863,9,65.262774
-117.369969,19,65.392018
133.322643,42,65.676059
-247.326224,13,65.765152
-172.062978,18,65.888579
42.297309,31,66.098354
-114.383215,24,66.261377
-257.393708,11,66.336395
-250.145906,12,66.418934
-167.263197,18,66.541128
-274.230141,10,66.609303
-164.609905,18,66.731731
-156.656802,17,66.848161
-125.409258,21,66.990481
-161.195539,22,67.139945
-107.850718,20,67.275546
-261.522127,10,67.34462
-238.587294,13,67.43311
-266.838927,8,67.487873
-96.643815,20,67.623768
-267.051696,9,67.68629
-239.057898,10,67.75445
-237.341095,12,67.836087
119.968229,35,68.072333
-265.990543,10,68.14149
36.935331,32,68.357874
-108.152707,31,69.485834
-228.362806,13,69.580311
-225.926655,13,69.676241
-228.327794,12,70.90407
-162.072352,16,71.020254
-163.513919,18,71.151114
-172.389188,17,71.275624
-91.225557,23,72.571435
-265.483503,10,72.644393
-264.316572,9,72.710243
-266.067502,10,72.785401
-264.961122,10,72.858327
-262.180366,8,72.916822
-265.663885,10,74.116402
67.560287,28,74.322409
102.248654,34,75.700786
-260.076606,12,75.788247
-261.822091,10,75.861169
-264.55119,10,75.936647
-260.64347,11,76.01749
-259.662294,9,76.083776
-257.18243,11,77.294767
-270.341945,8,77.355814
-271.275434,10,77.428919
-272.759393,10,77.501801
-271.865935,9,77.567651
-275.53352,10,77.642787
-271.85552,9,77.709689
-273.391617,9,78.910882
88.111212,31,79.135108
-9.039137,25,79.319839
404.52083,55,80.859779
465.752404,75,82.53958
432.766128,71,85.314298
433.736049,75,87.008643
445.660836,57,88.581529
444.850115,75,90.303893
903.333333,58,91.887994
305.276206,47,92.229433
503.371382,75,95.081138
382.550732,53,95.463711
527.261586,75,98.324414
135.800448,32,98.557043
461.763244,75,100.261555
-39.091879,24,101.594965
-217.652417,13,101.689411
-214.981768,13,101.786404
-246.437013,10,101.859304
-243.49764,11,101.939445
218.959321,43,103.416631
425.515689,75,105.121852
208.363437,40,106.567713
-15.123291,25,106.748826
462.40659,75,108.446632
415.888433,55,110.004451
1.138693,23,111.327946
200.986816,39,111.609081
900.0,60,113.198846
288.391231,47,114.703743
64.448505,29,114.913357
-74.57327,21,116.224895
-122.252107,18,116.356442
-79.156566,20,116.50412
-64.114533,21,117.813359
30.748013,28,118.016115
321.041509,50,119.531309
