#{"t_start": 1626279733.2108138, "env_id": "jtr-v1"}
r,l,t
262.134372,22,21164.198604
251.542197,22,21188.326354
253.402192,21,21210.874009
256.414033,24,21240.307263
241.763558,21,21263.35597
299.023322,25,21290.785385
249.68818,19,21311.577444
254.351684,21,21337.411421
290.581532,23,21363.069669
365.690901,28,21393.567484
256.09356,22,21417.284519
252.616352,21,21443.245801
249.020784,20,21464.919781
368.025086,29,21496.824056
275.345747,22,21520.562658
239.166076,20,21545.363482
324.674623,26,21574.307587
232.479468,19,21595.369512
290.994849,23,21620.44516
223.306518,20,21645.380662
219.832804,18,21665.1386
279.029607,22,21688.687632
350.828053,27,21718.107752
287.423782,23,21746.285721
261.035863,21,21768.947566
250.717103,22,21792.937382
294.673011,24,21819.968089
264.660727,22,21847.168564
262.118872,21,21869.97069
245.420526,22,21893.844493
365.191007,28,21924.465041
326.023284,27,21957.08643
242.448046,20,21978.548191
291.431357,24,22004.560358
237.74753,20,22026.723665
234.229315,20,22051.801736
251.248511,21,22074.75253
506.680757,39,22117.029128
275.124883,22,22144.204437
251.915333,21,22167.015285
246.395024,20,22189.049829
236.1459,20,22210.838447
248.65821,22,22234.585287
269.586177,22,22261.764931
247.68947,21,22284.364686
244.060161,21,22307.20063
238.438368,20,22329.097163
329.410226,27,22361.465458
245.475975,20,22383.175591
236.102531,20,22405.063895
258.298317,22,22429.024867
250.489875,20,22453.79746
337.362115,29,22485.469472
242.827914,20,22506.997275
251.258303,21,22529.732754
413.450659,30,22565.773094
260.049846,21,22588.285273
286.523791,24,22614.534745
251.285799,20,22636.19884
327.388163,26,22667.691756
297.60218,24,22693.779485
229.498271,20,22715.55144
254.925495,22,22738.966611
243.314124,20,22764.165388
249.731103,20,22785.8995
262.958363,21,22809.228623
242.112089,22,22833.333133
254.348934,21,22860.057629
234.040581,20,22882.434905
291.613936,24,22908.370231
308.667499,24,22934.268112
232.917321,20,22958.873554
249.566771,22,22982.849739
359.700564,28,23013.37963
292.58288,24,23039.189906
231.758956,20,23064.143088
238.293304,20,23086.083354
444.199422,34,23122.782982
300.222924,24,23148.72442
385.125676,29,23311.033787
331.978005,25,23338.203786
282.398836,24,23367.566751
282.311043,24,23393.765635
293.835452,26,23421.804117
354.230462,28,23452.018078
209.486993,20,23477.224158
330.443587,25,23504.284588
290.423874,24,23530.331653
291.959941,23,23555.046781
304.392468,23,23583.690519
424.200593,34,23620.549038
230.762625,20,23641.959998
242.096265,20,23667.103986
273.319351,22,23691.211585
248.441142,21,23714.003921
265.816364,22,23737.972146
262.474526,21,23764.386279
247.909878,22,23788.115145
297.543644,24,23814.462321
273.389747,21,23837.166353
411.796682,31,23878.371003
246.981506,20,23909.702563
225.137769,20,23944.286889
251.356852,21,23979.223573
233.445923,20,24012.505363
626.57534,47,24086.868299
254.850139,22,24123.562021
284.089815,24,24164.99388
257.154055,21,24196.158366
260.059871,22,24232.189615
252.803933,21,24267.318242
301.74702,25,24310.786595
313.563096,26,24339.391207
504.186115,35,24377.377436
346.122806,28,24411.483062
243.021096,19,24432.284269
261.926177,21,24455.346585
343.944173,26,24483.481353
269.787359,22,24510.471171
318.452893,26,24538.912883
263.607628,21,24562.164334
279.392573,23,24587.062484
287.532561,23,24615.379464
254.501642,22,24639.272957
321.042304,25,24666.515949
243.047471,20,24688.146988
339.503857,26,24719.800782
234.654663,20,24741.636867
290.236525,24,24767.923662
256.93087,21,24790.692218
269.646335,22,24817.905521
268.851846,22,24842.010238
404.296312,30,24874.557479
230.566168,20,24896.365904
293.093952,24,24925.886889
789.111964,59,24991.139734
237.835591,20,25012.964159
269.967028,22,25040.346849
230.21961,20,25062.065166
282.336423,23,25087.289726
297.414001,25,25114.148552
381.264275,30,25150.305015
